SMILES,BIOACT_PCHEMBL_VALUE,CMP_CHEMBL_ID
O=C(CN1CCN(CCCCCOc2ccc3c(-c4ccccc4)cc(=O)oc3c2)CC1)Nc1c2c(nc3ccccc13)CCCC2,5.90,CHEMBL2391481
COc1cccc(NC(=O)Oc2ccc3c(c2)CN2CCc4ccccc4C2N3C)c1,6.66,CHEMBL2152546
Fc1ccc(/C=C2\CNCC3=C2N=C2SC=C(c4ccc(Cl)cc4)N2C3c2ccc(F)cc2)cc1,4.65,CHEMBL3104330
CCN(CC)CCCCCCOc1cc2c(cc1OC)C/C(=C/c1ccncc1)C2=O,4.87,CHEMBL2043061
COc1cc(/C=C/c2ccc(OCCCCCCCCN(C)Cc3ccccc3)cc2)cc(OC)c1,4.33,CHEMBL3133309
CCN(CC)CCCCCOc1ccc(CN(CC)CC)cc1,5.35,CHEMBL1085575
O=C(Cc1ccccc1)Nc1ccc2nc3c4[nH]c5ccccc5c4ccn3c(=O)c2c1,4.60,CHEMBL2375921
c1ccc2c3c([nH]c2c1)[C@H]1[C@H]2CC[C@H]([C@@H]4CCCN[C@@H]42)N1CC3,4.97,CHEMBL2219846
O=c1cc(-c2ccccc2)oc2cc(OCCCCN3CCN(CCNc4c5c(nc6ccccc46)CCCC5)CC3)ccc12,6.71,CHEMBL2436695
C=CC(=O)N1C/C(=C\c2ccccc2F)C(=O)/C(=C/c2ccccc2F)C1,4.27,CHEMBL2332536
CC(C)N1CCN(c2nccc(NC(c3ccccc3)c3ccccc3)n2)CC1,5.01,CHEMBL1834071
COc1cc2c(cc1OC)C(Cc1ccc(OCCCCCCN3CCCC3C)cc1)NCC2,5.47,CHEMBL3262664
CN(C)c1ccc(/C=C2\COc3cc(OCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)cc1,7.18,CHEMBL3093178
Clc1ccc(C2=CSC3=NC4=C(CNC/C4=C\c4ccccc4)C(c4ccccc4)N23)cc1,4.35,CHEMBL3104325
Cc1ccc(N(Cc2ccccc2)C(=O)/C=C/C(=O)N(Cc2ccccc2)c2ccc(C)cc2)cc1,4.58,CHEMBL2296119
CCN(CC)CCCOc1ccc2c3c(nccc13)-c1ccccc1C2=O,5.57,CHEMBL1770196
O=C(C[C@@H]1CCCN2CCCC[C@H]12)N1c2ccccc2Sc2ccccc21,5.52,CHEMBL1782731
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,5.33,CHEMBL502
C#CCN(C)[C@H](C)Cc1ccc(OCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1,7.73,CHEMBL2333928
CCOC(=O)c1cc2c(N)c3c(nc2nc1C)CCC3,4.41,CHEMBL1084518
Cc1cc(=O)oc2cc(OCCN3CCN(CC(=O)Nc4c5c(nc6ccccc46)CCCC5)CC3)ccc12,6.63,CHEMBL2391486
Nc1c2c(nc3c1C(c1cccc([N+](=O)[O-])c1)c1c(c4ccccc4oc1=O)O3)CCCC2,4.74,CHEMBL2425851
c1ccc2c(c1)Sc1ccccc1C2C[C@@H]1CCCN2CCCC[C@H]12,6.82,CHEMBL1782718
CN1CC[C@@H](C(=O)N2C/C(=C\c3ccccc3)C(=O)[C@@]3(C2)[C@H](c2ccccc2)CN(C)[C@]32C(=O)Nc3ccccc32)[C@@]12C(=O)Nc1ccccc12,5.03,CHEMBL3115197
CCN(CC)Cc1ccc(OCCCCCCCCN2CCCC2)cc1,7.82,CHEMBL1082845
CCOc1ccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)cc1,4.01,CHEMBL2323353
CN(C)c1ccc(-c2cc(=O)c3ccc(OCCCCCCCCCCN4CCCC4)cc3o2)cc1,6.09,CHEMBL3093842
O=C(NC1CCN(Cc2ccccc2)CC1)c1cc2cc(Br)ccc2oc1=O,4.38,CHEMBL3087905
CCOP(=S)(OCC)SCc1ccncc1,4.75,CHEMBL2270697
O=C1/C(=C/c2ccccc2)CN(C(=O)[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2cc(Cl)ccc23)C/C1=C\c1ccccc1,4.81,CHEMBL2380668
COc1ccc(/C=N/NC(=O)CN2CCC(Cc3ccccc3)CC2)cc1OC,4.26,CHEMBL2323354
O=C1c2ccc(NCCCN3CCCCC3)cc2-c2nccc3cccc1c23,5.81,CHEMBL1956560
CC(=O)N(CCCN=c1c2ccccc2nc2n1CCC2)CCC/N=c1\c2ccccc2nc2n1CCC2,6.57,CHEMBL1669446
Oc1ccccc1CNCCCCNc1c2c(nc3ccccc13)CCCC2,7.69,CHEMBL2147357
COc1cc2c3cc1Oc1c(OC)c(OC)cc4c1[C@@H](Cc1ccc(OC(=O)c5ccc([N+](=O)[O-])cc5)c(c1)Oc1ccc(cc1)C[C@@H]3N(C)CC2)N(C)CC4,5.38,CHEMBL405686
OCCN1CCN(c2nccc(NC(c3ccccc3)c3ccccc3)n2)CC1,4.23,CHEMBL1834078
O=C1c2ccc(NCCN3CCCCC3)cc2-c2nccc3cccc1c23,5.85,CHEMBL1956559
COc1cccc(NC(=O)Oc2ccc3c(c2)CN2CCCC2N3C)c1,5.12,CHEMBL2152552
CCN(CC)CCCCOc1ccc(CN(CC)CC)cc1,5.56,CHEMBL1082783
CC(C(=O)NCCCNc1c2c(nc3ccccc13)CCCC2)c1ccc(-c2ccc(OCCCCO[N+](=O)[O-])cc2)c(F)c1,8.10,CHEMBL2380606
c1ccc(C(C[C@@H]2CCCN3CCCC[C@H]23)c2ccccc2)cc1,5.26,CHEMBL1782727
